ID,Matches played,Name,Highlander games,6's games,Defaults,Country
119929,112,_gar,2,98,0,Sweden
82350,112,extrasolar,70,37,1,UnitedKingdom
62427,112,Fuxx,36,57,0,Portugal
3059,112,Genmix,4,83,0,Belgium
123419,111,Deki,41,61,0,Serbia
59771,111,nijoonen,48,40,0,Sweden
99134,111,Morrow,18,72,0,Netherlands
90821,111,Crypto,43,64,1,Netherlands
43975,111,deljin ♪,9,70,0,Israel
3070,111,Tunttu,8,79,0,Finland
50025,111,Trensu,48,46,1,Poland
106173,111,Harry,44,44,0,UnitedKingdom
63275,111,Zinson,6,77,0,Russia
111080,111,Frans,33,68,0,Finland
111128,110,aph,0,104,1,Finland
57424,110,private_meta,23,56,0,Austria
127879,110,Ironhawk,29,68,0,International
23867,110,Hisoka,16,79,0,Finland
11662,110,manhunter,2,101,0,Hungary
12040,110,Tusken,11,73,0,Russia
51551,110,action-,25,76,1,Norway
114454,110,Derpy Hooves,12,85,0,Finland
14704,110,murje,7,91,0,Finland
126100,110,joe the brave,26,77,0,UnitedKingdom
21770,109,Crake,17,61,0,England
4716,109,Dega,7,85,0,Germany
95320,109,LostMySelf,8,91,0,Finland
41158,109,NeWas,8,72,0,Lithuania
120264,109,Luau,65,37,0,European
50158,109,Snajper,55,43,1,Ukraine
105436,109,Lin,63,28,0,Netherlands
5049,109,Rake,7,61,0,Finland
62625,109,m0rg,50,15,0,Russia
4283,109,humbug,3,52,0,UnitedKingdom
120010,109,Blobchap,19,84,0,UnitedKingdom
95878,109,hai,11,79,0,Finland
44180,109,Darx,19,66,0,Germany
65969,108,wackey,0,91,0,Israel
81527,108,pierzzz-,23,58,0,Italy
96462,108,BASSOfreak,0,101,1,European
116592,108,asianfetish69,0,95,0,Sweden
75914,108,Jan,27,62,0,Slovenia
112629,108,poy,48,46,0,Switzerland
31624,108,Carlow,29,44,0,Sweden
50640,108,pablo,12,70,0,Poland
90015,108,letto,8,73,0,Austria
17018,108,Vega,31,54,0,Russia
124830,108,Big Papa MattJ,55,30,0,France
70407,108,Lupus,3,98,0,Bulgaria
888,107,drleånn,5,70,0,Norway
42880,107,NeoX,0,104,0,Germany
94108,107,kevin,46,44,0,Belgium
551,107,byte,18,74,0,England
76116,107,NigerGufi,27,68,1,Hungary
96659,107,Shpeeisme,18,68,1,Belgium
47033,107,Henghast,29,63,0,Macedonia
